model,method,budget,task,Task Type,Eval metric,Avg len,Language,performance
Meta-Llama-3.1-8B-Instruct,Quant,512,TriviaQA,Few shot,F1,8209,EN,28.53
Meta-Llama-3.1-8B-Instruct,Quant,512,SAMSum,Few shot,Rouge-L,6258,EN,13.41
Meta-Llama-3.1-8B-Instruct,Quant,512,LSHT,Few shot,Accuracy,22337,ZH,19.0
Meta-Llama-3.1-8B-Instruct,Quant,512,PassageCount,Synthetic,Accuracy,11141,EN,9.5
Meta-Llama-3.1-8B-Instruct,Quant,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,36.5
Meta-Llama-3.1-8B-Instruct,Quant,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,0.0
Meta-Llama-3.1-8B-Instruct,Quant,512,LCC,Code,Edit Sim,1235,Python/C#/Java,16.57
Meta-Llama-3.1-8B-Instruct,Quant,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,14.87
Meta-Llama-3.1-8B-Instruct,Origin,512,NarrativeQA,Single-doc QA,F1,18409,EN,27.18
Meta-Llama-3.1-8B-Instruct,Origin,512,Qasper,Single-doc QA,F1,3619,EN,11.69
Meta-Llama-3.1-8B-Instruct,Origin,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,26.74
Meta-Llama-3.1-8B-Instruct,Origin,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.46
Meta-Llama-3.1-8B-Instruct,Origin,512,HotpotQA,Multi-doc QA,F1,9151,EN,16.59
Meta-Llama-3.1-8B-Instruct,Origin,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,16.74
Meta-Llama-3.1-8B-Instruct,Origin,512,MuSiQue,Multi-doc QA,F1,11214,EN,11.95
Meta-Llama-3.1-8B-Instruct,Origin,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,24.45
Meta-Llama-3.1-8B-Instruct,Origin,512,GovReport,Summarization,Rouge-L,8734,EN,26.41
Meta-Llama-3.1-8B-Instruct,Origin,512,QMSum,Summarization,Rouge-L,10614,EN,23.34
Meta-Llama-3.1-8B-Instruct,Origin,512,MultiNews,Summarization,Rouge-L,2113,EN,24.48
Meta-Llama-3.1-8B-Instruct,Origin,512,VCSUM,Summarization,Rouge-L,15380,ZH,15.23
Meta-Llama-3.1-8B-Instruct,Origin,512,TREC,Few shot,Accuracy,5177,EN,72.5
Meta-Llama-3.1-8B-Instruct,Origin,512,TriviaQA,Few shot,F1,8209,EN,91.65
Meta-Llama-3.1-8B-Instruct,Origin,512,SAMSum,Few shot,Rouge-L,6258,EN,43.56
Meta-Llama-3.1-8B-Instruct,Origin,512,LSHT,Few shot,Accuracy,22337,ZH,46.0
Meta-Llama-3.1-8B-Instruct,Origin,512,PassageCount,Synthetic,Accuracy,11141,EN,6.11
Meta-Llama-3.1-8B-Instruct,Origin,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,98.22
Meta-Llama-3.1-8B-Instruct,Origin,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,76.58
Meta-Llama-3.1-8B-Instruct,Origin,512,LCC,Code,Edit Sim,1235,Python/C#/Java,64.2
Meta-Llama-3.1-8B-Instruct,Origin,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,58.16
Meta-Llama-3.1-8B-Instruct,AKCB,1024,NarrativeQA,Single-doc QA,F1,18409,EN,25.26
Meta-Llama-3.1-8B-Instruct,AKCB,1024,Qasper,Single-doc QA,F1,3619,EN,11.98
Meta-Llama-3.1-8B-Instruct,AKCB,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,25.48
Meta-Llama-3.1-8B-Instruct,AKCB,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.69
Meta-Llama-3.1-8B-Instruct,AKCB,1024,HotpotQA,Multi-doc QA,F1,9151,EN,16.4
Meta-Llama-3.1-8B-Instruct,AKCB,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,16.76
Meta-Llama-3.1-8B-Instruct,AKCB,1024,MuSiQue,Multi-doc QA,F1,11214,EN,11.24
Meta-Llama-3.1-8B-Instruct,AKCB,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,24.56
Meta-Llama-3.1-8B-Instruct,AKCB,1024,GovReport,Summarization,Rouge-L,8734,EN,27.39
Meta-Llama-3.1-8B-Instruct,AKCB,1024,QMSum,Summarization,Rouge-L,10614,EN,23.11
Meta-Llama-3.1-8B-Instruct,AKCB,1024,MultiNews,Summarization,Rouge-L,2113,EN,24.99
Meta-Llama-3.1-8B-Instruct,AKCB,1024,VCSUM,Summarization,Rouge-L,15380,ZH,14.71
Meta-Llama-3.1-8B-Instruct,AKCB,1024,TREC,Few shot,Accuracy,5177,EN,72.5
Meta-Llama-3.1-8B-Instruct,AKCB,1024,TriviaQA,Few shot,F1,8209,EN,91.17
Meta-Llama-3.1-8B-Instruct,AKCB,1024,SAMSum,Few shot,Rouge-L,6258,EN,43.94
Meta-Llama-3.1-8B-Instruct,AKCB,1024,LSHT,Few shot,Accuracy,22337,ZH,46.0
Meta-Llama-3.1-8B-Instruct,AKCB,1024,PassageCount,Synthetic,Accuracy,11141,EN,6.31
Meta-Llama-3.1-8B-Instruct,AKCB,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,98.49
Meta-Llama-3.1-8B-Instruct,AKCB,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,76.7
Meta-Llama-3.1-8B-Instruct,AKCB,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,64.02
Meta-Llama-3.1-8B-Instruct,AKCB,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.77
Meta-Llama-3.1-8B-Instruct,Quant,1024,NarrativeQA,Single-doc QA,F1,18409,EN,5.7
Meta-Llama-3.1-8B-Instruct,Quant,1024,Qasper,Single-doc QA,F1,3619,EN,9.67
Meta-Llama-3.1-8B-Instruct,Quant,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,8.58
Meta-Llama-3.1-8B-Instruct,Quant,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,12.11
Meta-Llama-3.1-8B-Instruct,Quant,1024,HotpotQA,Multi-doc QA,F1,9151,EN,21.67
Meta-Llama-3.1-8B-Instruct,Quant,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,11.57
Meta-Llama-3.1-8B-Instruct,Quant,1024,MuSiQue,Multi-doc QA,F1,11214,EN,6.58
Meta-Llama-3.1-8B-Instruct,Quant,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,4.36
Meta-Llama-3.1-8B-Instruct,Quant,1024,GovReport,Summarization,Rouge-L,8734,EN,1.3
Meta-Llama-3.1-8B-Instruct,Quant,1024,QMSum,Summarization,Rouge-L,10614,EN,6.33
Meta-Llama-3.1-8B-Instruct,Quant,1024,MultiNews,Summarization,Rouge-L,2113,EN,4.2
Meta-Llama-3.1-8B-Instruct,Quant,1024,VCSUM,Summarization,Rouge-L,15380,ZH,0.33
Meta-Llama-3.1-8B-Instruct,Quant,1024,TREC,Few shot,Accuracy,5177,EN,47.0
Meta-Llama-3.1-8B-Instruct,Quant,1024,TriviaQA,Few shot,F1,8209,EN,28.53
Meta-Llama-3.1-8B-Instruct,Quant,1024,SAMSum,Few shot,Rouge-L,6258,EN,13.41
Meta-Llama-3.1-8B-Instruct,Quant,1024,LSHT,Few shot,Accuracy,22337,ZH,19.0
Meta-Llama-3.1-8B-Instruct,Quant,1024,PassageCount,Synthetic,Accuracy,11141,EN,9.5
Meta-Llama-3.1-8B-Instruct,Quant,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,36.5
Meta-Llama-3.1-8B-Instruct,Quant,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,0.0
Meta-Llama-3.1-8B-Instruct,Quant,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,16.6
Meta-Llama-3.1-8B-Instruct,Quant,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,14.87
Meta-Llama-3.1-8B-Instruct,Origin,1024,NarrativeQA,Single-doc QA,F1,18409,EN,27.74
Meta-Llama-3.1-8B-Instruct,Origin,1024,Qasper,Single-doc QA,F1,3619,EN,12.16
Meta-Llama-3.1-8B-Instruct,Origin,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,27.48
Meta-Llama-3.1-8B-Instruct,Origin,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.67
Meta-Llama-3.1-8B-Instruct,Origin,1024,HotpotQA,Multi-doc QA,F1,9151,EN,16.64
Meta-Llama-3.1-8B-Instruct,Origin,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,16.46
Meta-Llama-3.1-8B-Instruct,Origin,1024,MuSiQue,Multi-doc QA,F1,11214,EN,11.97
Meta-Llama-3.1-8B-Instruct,Origin,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,24.78
Meta-Llama-3.1-8B-Instruct,Origin,1024,GovReport,Summarization,Rouge-L,8734,EN,28.13
Meta-Llama-3.1-8B-Instruct,Origin,1024,QMSum,Summarization,Rouge-L,10614,EN,23.81
Meta-Llama-3.1-8B-Instruct,Origin,1024,MultiNews,Summarization,Rouge-L,2113,EN,25.85
Meta-Llama-3.1-8B-Instruct,Origin,1024,VCSUM,Summarization,Rouge-L,15380,ZH,15.79
Meta-Llama-3.1-8B-Instruct,Origin,1024,TREC,Few shot,Accuracy,5177,EN,72.5
Meta-Llama-3.1-8B-Instruct,Origin,1024,TriviaQA,Few shot,F1,8209,EN,91.65
Meta-Llama-3.1-8B-Instruct,Origin,1024,SAMSum,Few shot,Rouge-L,6258,EN,43.69
Meta-Llama-3.1-8B-Instruct,Origin,1024,LSHT,Few shot,Accuracy,22337,ZH,46.5
Meta-Llama-3.1-8B-Instruct,Origin,1024,PassageCount,Synthetic,Accuracy,11141,EN,6.45
Meta-Llama-3.1-8B-Instruct,Origin,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,97.8
Meta-Llama-3.1-8B-Instruct,Origin,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,76.95
Meta-Llama-3.1-8B-Instruct,Origin,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,64.73
Meta-Llama-3.1-8B-Instruct,Origin,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,58.07
Meta-Llama-3.1-8B-Instruct,AKCB,2048,NarrativeQA,Single-doc QA,F1,18409,EN,26.88
Meta-Llama-3.1-8B-Instruct,AKCB,2048,Qasper,Single-doc QA,F1,3619,EN,12.42
Meta-Llama-3.1-8B-Instruct,AKCB,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,27.71
Meta-Llama-3.1-8B-Instruct,AKCB,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.56
Meta-Llama-3.1-8B-Instruct,AKCB,2048,HotpotQA,Multi-doc QA,F1,9151,EN,17.05
Meta-Llama-3.1-8B-Instruct,AKCB,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,16.99
Meta-Llama-3.1-8B-Instruct,AKCB,2048,MuSiQue,Multi-doc QA,F1,11214,EN,11.88
Meta-Llama-3.1-8B-Instruct,AKCB,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,25.57
Meta-Llama-3.1-8B-Instruct,AKCB,2048,GovReport,Summarization,Rouge-L,8734,EN,29.99
Meta-Llama-3.1-8B-Instruct,AKCB,2048,QMSum,Summarization,Rouge-L,10614,EN,23.71
Meta-Llama-3.1-8B-Instruct,AKCB,2048,MultiNews,Summarization,Rouge-L,2113,EN,26.25
Meta-Llama-3.1-8B-Instruct,AKCB,2048,VCSUM,Summarization,Rouge-L,15380,ZH,14.94
Meta-Llama-3.1-8B-Instruct,AKCB,2048,TREC,Few shot,Accuracy,5177,EN,72.5
Meta-Llama-3.1-8B-Instruct,AKCB,2048,TriviaQA,Few shot,F1,8209,EN,91.57
Meta-Llama-3.1-8B-Instruct,AKCB,2048,SAMSum,Few shot,Rouge-L,6258,EN,44.35
Meta-Llama-3.1-8B-Instruct,AKCB,2048,LSHT,Few shot,Accuracy,22337,ZH,46.0
Meta-Llama-3.1-8B-Instruct,AKCB,2048,PassageCount,Synthetic,Accuracy,11141,EN,5.77
Meta-Llama-3.1-8B-Instruct,AKCB,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,98.32
Meta-Llama-3.1-8B-Instruct,AKCB,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,76.08
Meta-Llama-3.1-8B-Instruct,AKCB,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,64.88
Meta-Llama-3.1-8B-Instruct,AKCB,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,57.55
Meta-Llama-3.1-8B-Instruct,Quant,2048,NarrativeQA,Single-doc QA,F1,18409,EN,5.7
Meta-Llama-3.1-8B-Instruct,Quant,2048,Qasper,Single-doc QA,F1,3619,EN,9.67
Meta-Llama-3.1-8B-Instruct,Quant,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,9.7
Meta-Llama-3.1-8B-Instruct,Quant,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,13.16
Meta-Llama-3.1-8B-Instruct,Quant,2048,HotpotQA,Multi-doc QA,F1,9151,EN,21.98
Meta-Llama-3.1-8B-Instruct,Quant,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,10.72
Meta-Llama-3.1-8B-Instruct,Quant,2048,MuSiQue,Multi-doc QA,F1,11214,EN,6.58
Meta-Llama-3.1-8B-Instruct,Quant,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,4.36
Meta-Llama-3.1-8B-Instruct,Quant,2048,GovReport,Summarization,Rouge-L,8734,EN,1.3
Meta-Llama-3.1-8B-Instruct,Quant,2048,QMSum,Summarization,Rouge-L,10614,EN,6.33
Meta-Llama-3.1-8B-Instruct,Quant,2048,MultiNews,Summarization,Rouge-L,2113,EN,13.98
Meta-Llama-3.1-8B-Instruct,Quant,2048,VCSUM,Summarization,Rouge-L,15380,ZH,0.51
Meta-Llama-3.1-8B-Instruct,Quant,2048,TREC,Few shot,Accuracy,5177,EN,47.0
Meta-Llama-3.1-8B-Instruct,Quant,2048,TriviaQA,Few shot,F1,8209,EN,29.81
Meta-Llama-3.1-8B-Instruct,Quant,2048,SAMSum,Few shot,Rouge-L,6258,EN,14.51
Meta-Llama-3.1-8B-Instruct,Quant,2048,LSHT,Few shot,Accuracy,22337,ZH,19.0
Meta-Llama-3.1-8B-Instruct,Quant,2048,PassageCount,Synthetic,Accuracy,11141,EN,9.5
Meta-Llama-3.1-8B-Instruct,Quant,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,36.5
Meta-Llama-3.1-8B-Instruct,Quant,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,0.0
Meta-Llama-3.1-8B-Instruct,Quant,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,34.29
Meta-Llama-3.1-8B-Instruct,Quant,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,14.87
Meta-Llama-3.1-8B-Instruct,Origin,2048,NarrativeQA,Single-doc QA,F1,18409,EN,27.19
Meta-Llama-3.1-8B-Instruct,Origin,2048,Qasper,Single-doc QA,F1,3619,EN,12.39
Meta-Llama-3.1-8B-Instruct,Origin,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,27.2
Meta-Llama-3.1-8B-Instruct,Origin,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.09
Meta-Llama-3.1-8B-Instruct,Origin,2048,HotpotQA,Multi-doc QA,F1,9151,EN,17.27
Meta-Llama-3.1-8B-Instruct,Origin,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,16.33
Meta-Llama-3.1-8B-Instruct,Origin,2048,MuSiQue,Multi-doc QA,F1,11214,EN,11.65
Meta-Llama-3.1-8B-Instruct,Origin,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,25.64
Meta-Llama-3.1-8B-Instruct,Origin,2048,GovReport,Summarization,Rouge-L,8734,EN,30.31
Meta-Llama-3.1-8B-Instruct,Origin,2048,QMSum,Summarization,Rouge-L,10614,EN,23.22
Meta-Llama-3.1-8B-Instruct,Origin,2048,MultiNews,Summarization,Rouge-L,2113,EN,26.44
Meta-Llama-3.1-8B-Instruct,Origin,2048,VCSUM,Summarization,Rouge-L,15380,ZH,15.6
Meta-Llama-3.1-8B-Instruct,Origin,2048,TREC,Few shot,Accuracy,5177,EN,72.5
Meta-Llama-3.1-8B-Instruct,Origin,2048,TriviaQA,Few shot,F1,8209,EN,91.64
Meta-Llama-3.1-8B-Instruct,Origin,2048,SAMSum,Few shot,Rouge-L,6258,EN,44.0
Meta-Llama-3.1-8B-Instruct,Origin,2048,LSHT,Few shot,Accuracy,22337,ZH,46.5
Meta-Llama-3.1-8B-Instruct,Origin,2048,PassageCount,Synthetic,Accuracy,11141,EN,6.65
Meta-Llama-3.1-8B-Instruct,Origin,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,97.31
Meta-Llama-3.1-8B-Instruct,Origin,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,75.67
Meta-Llama-3.1-8B-Instruct,Origin,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,65.22
Meta-Llama-3.1-8B-Instruct,Origin,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,58.17
Qwen3-4B-Instruct-2507,Base,,NarrativeQA,Single-doc QA,F1,18409,EN,20.28
Qwen3-4B-Instruct-2507,Base,,Qasper,Single-doc QA,F1,3619,EN,27.94
Qwen3-4B-Instruct-2507,Base,,MultiFieldQA-en,Single-doc QA,F1,4559,EN,39.98
Qwen3-4B-Instruct-2507,Base,,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,35.32
Qwen3-4B-Instruct-2507,Base,,HotpotQA,Multi-doc QA,F1,9151,EN,15.24
Qwen3-4B-Instruct-2507,Base,,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,14.21
Qwen3-4B-Instruct-2507,Base,,MuSiQue,Multi-doc QA,F1,11214,EN,8.06
Qwen3-4B-Instruct-2507,Base,,DuReader,Multi-doc QA,Rouge-L,15768,ZH,27.93
Qwen3-4B-Instruct-2507,Base,,GovReport,Summarization,Rouge-L,8734,EN,28.48
Qwen3-4B-Instruct-2507,Base,,QMSum,Summarization,Rouge-L,10614,EN,19.23
Qwen3-4B-Instruct-2507,Base,,MultiNews,Summarization,Rouge-L,2113,EN,22.16
Qwen3-4B-Instruct-2507,Base,,VCSUM,Summarization,Rouge-L,15380,ZH,11.56
Qwen3-4B-Instruct-2507,Base,,TREC,Few shot,Accuracy,5177,EN,74.5
Qwen3-4B-Instruct-2507,Base,,TriviaQA,Few shot,F1,8209,EN,88.19
Qwen3-4B-Instruct-2507,Base,,SAMSum,Few shot,Rouge-L,6258,EN,45.16
Qwen3-4B-Instruct-2507,Base,,LSHT,Few shot,Accuracy,22337,ZH,43.5
Qwen3-4B-Instruct-2507,Base,,PassageCount,Synthetic,Accuracy,11141,EN,1.8
Qwen3-4B-Instruct-2507,Base,,PassageRetr.-en,Synthetic,Accuracy,9289,EN,87.33
Qwen3-4B-Instruct-2507,Base,,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,89.67
Qwen3-4B-Instruct-2507,Base,,LCC,Code,Edit Sim,1235,Python/C#/Java,64.47
Qwen3-4B-Instruct-2507,Base,,RepoBench-P,Code,Edit Sim,4206,Python/Java,57.58
Qwen3-4B-Instruct-2507,AKCB,512,NarrativeQA,Single-doc QA,F1,18409,EN,18.15
Qwen3-4B-Instruct-2507,AKCB,512,Qasper,Single-doc QA,F1,3619,EN,16.93
Qwen3-4B-Instruct-2507,AKCB,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,36.25
Qwen3-4B-Instruct-2507,AKCB,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,28.32
Qwen3-4B-Instruct-2507,AKCB,512,HotpotQA,Multi-doc QA,F1,9151,EN,18.28
Qwen3-4B-Instruct-2507,AKCB,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,14.11
Qwen3-4B-Instruct-2507,AKCB,512,MuSiQue,Multi-doc QA,F1,11214,EN,7.45
Qwen3-4B-Instruct-2507,AKCB,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,21.52
Qwen3-4B-Instruct-2507,AKCB,512,GovReport,Summarization,Rouge-L,8734,EN,23.83
Qwen3-4B-Instruct-2507,AKCB,512,QMSum,Summarization,Rouge-L,10614,EN,21.5
Qwen3-4B-Instruct-2507,AKCB,512,MultiNews,Summarization,Rouge-L,2113,EN,21.1
Qwen3-4B-Instruct-2507,AKCB,512,VCSUM,Summarization,Rouge-L,15380,ZH,9.68
Qwen3-4B-Instruct-2507,AKCB,512,TREC,Few shot,Accuracy,5177,EN,74.5
Qwen3-4B-Instruct-2507,AKCB,512,TriviaQA,Few shot,F1,8209,EN,88.18
Qwen3-4B-Instruct-2507,AKCB,512,SAMSum,Few shot,Rouge-L,6258,EN,44.41
Qwen3-4B-Instruct-2507,AKCB,512,LSHT,Few shot,Accuracy,22337,ZH,43.5
Qwen3-4B-Instruct-2507,AKCB,512,PassageCount,Synthetic,Accuracy,11141,EN,2.45
Qwen3-4B-Instruct-2507,AKCB,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,84.75
Qwen3-4B-Instruct-2507,AKCB,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,87.61
Qwen3-4B-Instruct-2507,AKCB,512,LCC,Code,Edit Sim,1235,Python/C#/Java,62.53
Qwen3-4B-Instruct-2507,AKCB,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,54.29
Qwen3-4B-Instruct-2507,Quant,512,NarrativeQA,Single-doc QA,F1,18409,EN,3.32
Qwen3-4B-Instruct-2507,Quant,512,Qasper,Single-doc QA,F1,3619,EN,5.48
Qwen3-4B-Instruct-2507,Quant,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,11.49
Qwen3-4B-Instruct-2507,Quant,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,7.05
Qwen3-4B-Instruct-2507,Quant,512,HotpotQA,Multi-doc QA,F1,9151,EN,10.1
Qwen3-4B-Instruct-2507,Quant,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,9.92
Qwen3-4B-Instruct-2507,Quant,512,MuSiQue,Multi-doc QA,F1,11214,EN,2.8
Qwen3-4B-Instruct-2507,Quant,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,6.66
Qwen3-4B-Instruct-2507,Quant,512,GovReport,Summarization,Rouge-L,8734,EN,3.19
Qwen3-4B-Instruct-2507,Quant,512,QMSum,Summarization,Rouge-L,10614,EN,17.56
Qwen3-4B-Instruct-2507,Quant,512,MultiNews,Summarization,Rouge-L,2113,EN,4.29
Qwen3-4B-Instruct-2507,Quant,512,VCSUM,Summarization,Rouge-L,15380,ZH,3.32
Qwen3-4B-Instruct-2507,Quant,512,TREC,Few shot,Accuracy,5177,EN,50.0
Qwen3-4B-Instruct-2507,Quant,512,TriviaQA,Few shot,F1,8209,EN,35.71
Qwen3-4B-Instruct-2507,Quant,512,SAMSum,Few shot,Rouge-L,6258,EN,16.37
Qwen3-4B-Instruct-2507,Quant,512,LSHT,Few shot,Accuracy,22337,ZH,21.0
Qwen3-4B-Instruct-2507,Quant,512,PassageCount,Synthetic,Accuracy,11141,EN,1.09
Qwen3-4B-Instruct-2507,Quant,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,50.55
Qwen3-4B-Instruct-2507,Quant,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,9.5
Qwen3-4B-Instruct-2507,Quant,512,LCC,Code,Edit Sim,1235,Python/C#/Java,18.68
Qwen3-4B-Instruct-2507,Quant,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,18.97
Qwen3-4B-Instruct-2507,Origin,512,NarrativeQA,Single-doc QA,F1,18409,EN,20.4
Qwen3-4B-Instruct-2507,Origin,512,Qasper,Single-doc QA,F1,3619,EN,19.71
Qwen3-4B-Instruct-2507,Origin,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,36.71
Qwen3-4B-Instruct-2507,Origin,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,30.56
Qwen3-4B-Instruct-2507,Origin,512,HotpotQA,Multi-doc QA,F1,9151,EN,15.19
Qwen3-4B-Instruct-2507,Origin,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,13.0
Qwen3-4B-Instruct-2507,Origin,512,MuSiQue,Multi-doc QA,F1,11214,EN,7.03
Qwen3-4B-Instruct-2507,Origin,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,22.78
Qwen3-4B-Instruct-2507,Origin,512,GovReport,Summarization,Rouge-L,8734,EN,25.1
Qwen3-4B-Instruct-2507,Origin,512,QMSum,Summarization,Rouge-L,10614,EN,21.45
Qwen3-4B-Instruct-2507,Origin,512,MultiNews,Summarization,Rouge-L,2113,EN,21.61
Qwen3-4B-Instruct-2507,Origin,512,VCSUM,Summarization,Rouge-L,15380,ZH,10.38
Qwen3-4B-Instruct-2507,Origin,512,TREC,Few shot,Accuracy,5177,EN,74.5
Qwen3-4B-Instruct-2507,Origin,512,TriviaQA,Few shot,F1,8209,EN,87.31
Qwen3-4B-Instruct-2507,Origin,512,SAMSum,Few shot,Rouge-L,6258,EN,44.58
Qwen3-4B-Instruct-2507,Origin,512,LSHT,Few shot,Accuracy,22337,ZH,43.5
Qwen3-4B-Instruct-2507,Origin,512,PassageCount,Synthetic,Accuracy,11141,EN,2.38
Qwen3-4B-Instruct-2507,Origin,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,86.46
Qwen3-4B-Instruct-2507,Origin,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,88.69
Qwen3-4B-Instruct-2507,Origin,512,LCC,Code,Edit Sim,1235,Python/C#/Java,64.2
Qwen3-4B-Instruct-2507,Origin,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.66
Qwen3-4B-Instruct-2507,AKCB,1024,NarrativeQA,Single-doc QA,F1,18409,EN,17.82
Qwen3-4B-Instruct-2507,AKCB,1024,Qasper,Single-doc QA,F1,3619,EN,22.43
Qwen3-4B-Instruct-2507,AKCB,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,37.6
Qwen3-4B-Instruct-2507,AKCB,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,30.09
Qwen3-4B-Instruct-2507,AKCB,1024,HotpotQA,Multi-doc QA,F1,9151,EN,17.52
Qwen3-4B-Instruct-2507,AKCB,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,14.4
Qwen3-4B-Instruct-2507,AKCB,1024,MuSiQue,Multi-doc QA,F1,11214,EN,7.76
Qwen3-4B-Instruct-2507,AKCB,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,23.42
Qwen3-4B-Instruct-2507,AKCB,1024,GovReport,Summarization,Rouge-L,8734,EN,25.54
Qwen3-4B-Instruct-2507,AKCB,1024,QMSum,Summarization,Rouge-L,10614,EN,21.59
Qwen3-4B-Instruct-2507,AKCB,1024,MultiNews,Summarization,Rouge-L,2113,EN,21.8
Qwen3-4B-Instruct-2507,AKCB,1024,VCSUM,Summarization,Rouge-L,15380,ZH,10.12
Qwen3-4B-Instruct-2507,AKCB,1024,TREC,Few shot,Accuracy,5177,EN,74.5
Qwen3-4B-Instruct-2507,AKCB,1024,TriviaQA,Few shot,F1,8209,EN,87.88
Qwen3-4B-Instruct-2507,AKCB,1024,SAMSum,Few shot,Rouge-L,6258,EN,44.9
Qwen3-4B-Instruct-2507,AKCB,1024,LSHT,Few shot,Accuracy,22337,ZH,43.5
